Country,Country2,Gender
Germany,Greece,M
Germany,Greece,F
Germany,Greece,M
Germany,Greece,M
Germany,Greece,F
Germany,Greece,F
Germany,Greece,F
Germany,Greece,NB
Germany,Greece,M
Germany,Greece,F
Germany,Greece,F
Germany,Greece,M
Germany,Greece,F
Germany,Greece,M
Germany,Greece,M
Germany,Greece,F
Germany,Greece,F
Germany,Greece,F
Germany,Greece,M
Germany,Greece,F
Germany,Greece,F
Germany,Greece,M
Germany,Greece,F
Germany,Greece,M
Germany,Greece,M
Germany,Greece,F
Germany,Greece,F
Germany,Greece,F
Germany,Greece,NB
Germany,Greece,M
Germany,Greece,F
Germany,Greece,F
Germany,Greece,M
Germany,Greece,F
Germany,Greece,M
Germany,Greece,M
Germany,Greece,F
Germany,Greece,F
Germany,Greece,F
Germany,Greece,M
Germany,Greece,F
Germany,Greece,F
Germany,Greece,M
Germany,Greece,F
Germany,Greece,M
Germany,Greece,M
Greece,Greece,F
Greece,Greece,F
Greece,Greece,F
Greece,Hungary,NB
Greece,Hungary,M
Greece,Hungary,F
Greece,Hungary,F
Greece,Hungary,M
Greece,Hungary,F
Greece,Hungary,M
Greece,Hungary,M
Hungary,Hungary,F
Hungary,Hungary,F
Hungary,Hungary,F
Hungary,Hungary,M
Iceland,Iceland,F
Iceland,Iceland,F
Ireland,Iceland,M
Ireland,Iceland,F
Ireland,Iceland,M
Ireland,Iceland,M
Ireland,Iceland,F
Ireland,Iceland,F
Ireland,Iceland,F
Ireland,Iceland,NB
Ireland,Iceland,M
Ireland,Iceland,F
Ireland,Iceland,F
Ireland,Ireland,M
Ireland,Ireland,F
Italy,Ireland,M
Italy,Ireland,M
Italy,Ireland,F
Italy,Ireland,F
Italy,Ireland,F
Italy,Ireland,M
Italy,Ireland,F
Italy,Ireland,F
Italy,Ireland,M
Italy,Ireland,F
Italy,Ireland,M
Italy,Ireland,M
Italy,Ireland,F
Italy,Ireland,F
Italy,Ireland,F
Italy,Ireland,NB
Italy,Italy,M
Italy,Italy,F
Italy,Italy,F
Italy,Italy,M
Italy,Italy,F
Italy,Italy,M
Italy,Italy,M
Italy,Italy,F
Italy,Italy,F
Italy,Kazakhstan,F
Italy,Kazakhstan,M
Italy,Kazakhstan,F
Italy,Kazakhstan,F
Italy,Kazakhstan,M
Italy,Kazakhstan,F
Italy,Kazakhstan,M
Italy,Kazakhstan,M
Italy,Kazakhstan,F
Italy,Kazakhstan,F
Italy,Kazakhstan,F
Italy,Kazakhstan,NB
Italy,Kazakhstan,M
Italy,Kazakhstan,F
Italy,Kazakhstan,F
Italy,Kazakhstan,M
Kazakhstan,Kazakhstan,F
Moldova,Moldova,M
Norway,Norway,M
Norway,Norway,F
Norway,Norway,F
Norway,Norway,F
Norway,Norway,M
Norway,Norway,F
Norway,Norway,F
Norway,Norway,M
Norway,Poland,F
Norway,Poland,M
Norway,Poland,M
Norway,Poland,F
Norway,Poland,F
Norway,Poland,F
Norway,Poland,NB
Norway,Poland,M
Poland,Poland,F
Poland,Poland,F
Poland,Poland,M
Poland,Poland,F
Poland,Poland,M
Poland,Poland,M
Poland,Poland,F
Poland,Poland,F
Portugal,Portugal,F
Portugal,Portugal,M
Portugal,Portugal,F
Portugal,Portugal,F
Portugal,Portugal,M
Portugal,Portugal,F
Portugal,Portugal,M
Portugal,Portugal,M
Portugal,Portugal,F
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,NB
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,NB
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,NB
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,NB
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,NB
Spain,Portugal,M
Spain,Portugal,F
Spain,Portugal,F
Spain,Portugal,M
Spain,Portugal,F
Spain,Spain,M
Spain,Spain,M
Spain,Spain,F
Spain,Spain,F
Spain,Spain,F
Spain,Sweden,M
Spain,Sweden,F
Sweden,Sweden,F
Sweden,Sweden,M
Sweden,Sweden,F
Sweden,Sweden,M
Sweden,Sweden,M
Sweden,Sweden,F
Sweden,Sweden,F
Sweden,Sweden,F
Sweden,Sweden,NB
Sweden,Sweden,M
Switzerland,Switzerland,F
Switzerland,Switzerland,F
Switzerland,Switzerland,M
Switzerland,Switzerland,F
Switzerland,Switzerland,M
Switzerland,Switzerland,M
Turkey,Switzerland,F
Turkey,Switzerland,F
Turkey,Switzerland,F
Turkey,Switzerland,M
Turkey,Switzerland,F
Turkey,Switzerland,F
Turkey,Switzerland,M
Turkey,Turkey,F
Turkey,Turkey,M
Turkey,Turkey,M
Turkey,Turkey,F
Turkey,Ukraine,F
Ukraine,Ukraine,F
Ukraine,Ukraine,NB
Ukraine,Ukraine,M
Ukraine,Ukraine,F
Ukraine,Ukraine,F
Ukraine,Ukraine,M
Ukraine,Ukraine,F
Ukraine,Ukraine,M
Ukraine,Ukraine,M
Ukraine,Ukraine,F
Ukraine,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,NB
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,NB
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,NB
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,M
United Kingdom,Ukraine,M
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,Ukraine,F
United Kingdom,United Kingdom,NB
United Kingdom,United Kingdom,M
United Kingdom,United Kingdom,F
United Kingdom,United Kingdom,F
United Kingdom,United Kingdom,M
United Kingdom,United Kingdom,F
United Kingdom,United Kingdom,M
United Kingdom,United Kingdom,M
United Kingdom,United Kingdom,F
United Kingdom,United Kingdom,F
United Kingdom,United Kingdom,F
